name,shorttype,length,index,type,defaultValue,property_Text,properties_Id
Dsp_of_SHORT NAME,A,8,160,String,02300008,,3
Filler      ,A,3,168,String,   ,Filler,3
SHORT NAME,A,30,171,String,                              ,Value for field,3
Dsp_of_POST NAME,A,8,201,String,03500231,,3
Filler     ,A,3,209,String,   ,Filler,3
POST NAME,A,50,212,String,                                                  ,Value for field,3
Dsp_of_ADDRESS 1,A,8,262,String,04300038,,3
Filler     ,A,3,270,String,   ,Filler,3
ADDRESS 1,A,30,273,String,                              ,Value for field,3
Dsp_of_ADDRESS 2,A,8,303,String,05300068,,3
Filler     ,A,3,311,String,   ,Filler,3
ADDRESS 2,A,30,314,String,                              ,Value for field,3
Dsp_of_ADDRESS 3,A,8,344,String,06200098,,3
Filler     ,A,3,352,String,   ,Filler,3
ADDRESS 3,A,20,355,String,                    ,Value for field,3
Dsp_of_ADDRESS 4,A,8,375,String,07200118,,3
Filler     ,A,3,383,String,   ,Filler,3
ADDRESS 4,A,20,386,String,                    ,Value for field,3
Dsp_of_POST CODE,A,8,406,String,08100138,,3
Filler     ,A,3,414,String,   ,Filler,3
POST CODE,A,10,417,String,          ,Value for field,3
Dsp_of_ALHPA-CODE,A,8,427,String,09151149,,3
Filler     ,A,3,435,String,   ,Filler,3
ALHPA-CODE,A,15,438,String,               ,Value for field,3
Dsp_of_DATE EST,A,8,453,String,10080176,,3
Filler     ,A,3,461,String,   ,Filler,3
DATE EST,N,8,464,Int,        ,Value for field,3
Dsp_of_HOME PHONE,A,8,472,String,11091852,,3
Filler     ,A,3,480,String,   ,Filler,3
HOME PHONE,A,9,483,String,         ,Value for field,3
Dsp_of_ALT PHONE,A,8,492,String,12091861,,3
Filler     ,A,3,500,String,   ,Filler,3
ALT PHONE,A,9,503,String,        ,Value for field,3
Dsp_of_OCCUPATION,A,8,512,String,13021870,,3
Filler     ,A,3,520,String,   ,Filler,3
OCCUPATION,A,2,523,String,  ,Value for field,3
Dsp_of_EMPLOYER,A,8,525,String,14161872,,3
Filler     ,A,3,533,String,   ,Filler,3
EMPLOYER,A,16,536,String,                ,Value for field,3
Dsp_of_LOC TAX NO,A,8,552,String,15101888,,3
Filler     ,A,3,560,String,   ,Filler,3
LOC TAX NO,A,10,563,String,          ,Value for field,3
Dsp_of_MARITAL ST,A,8,573,String,16011898,,3
Filler     ,A,3,581,String,   ,Filler,3
MARITAL ST,A,1,584,String, ,Value for field,3
Dsp_of_CNTR RISK,A,8,585,String,17021921,,3
Filler     ,A,3,593,String,   ,Filler,3
CNTR RISK,A,2,596,String,00,Value for field,3
Dsp_of_CNTR CTZN,A,8,598,String,18021923,,3
Filler     ,A,3,606,String,   ,Filler,3
CNTR CTZN,A,2,609,String,00,Value for field,3
Dsp_of_CNTR RES,A,8,611,String,19021925,,3
Filler     ,A,3,619,String,   ,Filler,3
CNTR RES,A,2,622,String,00,Value for field,3
Dsp_of_NXT REV DT,A,8,624,String,20081927,,3
Filler     ,A,3,632,String,   ,Filler,3
NXT REV DT,N,8,635,Int,        ,Value for field,3
Dsp_of_ID-CARD-1,A,8,643,String,21081933,,3
Filler     ,A,3,651,String,   ,Filler,3
ID-CARD-1,A,8,654,String,        ,Value for field,3
Dsp_of_ID-CARD-2,A,8,662,String,22081941,,3
Filler     ,A,3,670,String,   ,Filler,3
ID-CARD-2,A,8,673,String,        ,Value for field,3
Dsp_of_ID-CARD-3 ,A,8,681,String,23081949,,3
Filler     ,A,3,689,String,   ,Filler,3
ID-CARD-3 ,A,8,692,String,        ,Value for field,3
Dsp_of_SOC ECO GR,A,8,700,String,24011957,,3
Filler     ,A,3,708,String,   ,Filler,3
SOC ECO GR,N,1,711,Int,0,Value for field,3
Dsp_of_FTHR/SPOUS,A,8,712,String,25121958,,3
Filler     ,A,3,720,String,   ,Filler,3
FTHR/SPOUS,A,12,723,String,            ,Value for field,3
Dsp_of_CONN CLNT1,A,8,735,String,26061970,,3
Filler     ,A,3,743,String,   ,Filler,3
CONN CLNT1,N,6,746,Int,      ,Value for field,3
Dsp_of_CONN CLNT2,A,8,752,String,27061976,,3
Filler     ,A,3,760,String,   ,Filler,3
CONN CLNT2,N,6,763,Int,      ,Value for field,3
Dsp_of_CONN CLNT3,A,8,769,String,28061982,,3
Filler     ,A,3,777,String,   ,Filler,3
CONN CLNT3,N,6,780,Int,      ,Value for field,3
Dsp_of_CONN CLNT4,A,8,786,String,29061988,,3
Filler     ,A,3,794,String,   ,Filler,3
CONN CLNT4,N,6,797,Int,      ,Value for field,3
Dsp_of_PRIME A/C,A,8,803,String,30130155,,3
Filler     ,A,3,811,String,   ,Filler,3
PRIME A/C,A,13,814,String,             ,Value for field,3
Dsp_of_BANK FLAG,A,8,827,String,31010175,,3
Filler     ,A,3,835,String,   ,Filler,3
BANK FLAG,N,1,838,Int,0,Value for field,3
Dsp_of_NON-RES CD,A,8,839,String,32010148,,3
Filler     ,A,3,847,String,   ,Filler,3
NON-RES CD,A,1,850,String,0,Value for field,3
Dsp_of_STAFF IND.,A,8,851,String,33010184,,3
Filler     ,A,3,859,String,   ,Filler,3
STAFF IND.,A,1,862,String, ,Value for field,3
Dsp_of_SEX INDIC.,A,8,863,String,34010186,,3
Filler     ,A,3,871,String,   ,Filler,3
SEX INDIC.,A,1,874,String, ,Value for field,3
Dsp_of_LANG IND ,A,8,875,String,35010185,,3
Filler     ,A,3,883,String,   ,Filler,3
LANG IND ,N,1,886,Int,0,Value for field,3
Dsp_of_GAP ANL IN,A,8,887,String,36010187,,3
Filler     ,A,3,895,String,   ,Filler,3
GAP ANL IN,N,1,898,Int,0,Value for field,3
Dsp_of_CORR ADD,A,8,899,String,37060190,,3
Filler     ,A,3,907,String,   ,Filler,3
CORR ADD,N,6,910,Int,      ,Value for field,3
Dsp_of_INT PAID ,A,8,916,String,38010291,,3
Filler     ,A,3,924,String,   ,Filler,3
INT PAID ,N,1,927,Int,0,Value for field,3
Dsp_of_INT RECD.,A,8,928,String,39010292,,3
Filler     ,A,3,936,String,   ,Filler,3
INT RECD.,N,1,939,Int,0,Value for field,3
Dsp_of_FX FUT IND,A,8,940,String,40010299,,3
Filler     ,A,3,948,String,   ,Filler,3
FX FUT IND,N,1,951,Int,0,Value for field,3
Dsp_of_COMM CODE ,A,8,952,String,41010399,,3
Filler     ,A,3,960,String,   ,Filler,3
COMM CODE ,A,1,963,String, ,Value for field,3
Dsp_of_ALT. MSG.?,A,8,964,String,42010385,,3
Filler     ,A,3,972,String,   ,Filler,3
ALT. MSG.?,N,1,975,Int,0,Value for field,3
Dsp_of_FIN. INST.,A,8,976,String,43010396,,3
Filler     ,A,3,984,String,   ,Filler,3
FIN. INST.,N,1,987,Int,0,Value for field,3
Dsp_of_TAX FLAG,A,8,988,String,44010397,,3
Filler     ,A,3,996,String,   ,Filler,3
TAX FLAG,A,1,999,String, ,Value for field,3
Dsp_of_LABEL PRT ,A,8,1000,String,45010374,,3
Filler     ,A,3,1008,String,   ,Filler,3
LABEL PRT ,N,1,1011,Int,0,Value for field,3
Dsp_of_STMT FLAG,A,8,1012,String,46011117,,3
Filler     ,A,3,1020,String,   ,Filler,3
STMT FLAG,N,1,1023,Int,0,Value for field,3
Dsp_of_FILLER,A,8,1024,String,47070168,,3
Filler     ,A,3,1032,String,   ,Filler,3
FILLER,A,7,1035,String,       ,Value for field,3
Dsp_of_BRANCH NO,A,8,1042,String,48041848,,3
Filler     ,A,3,1050,String,   ,Filler,3
BRANCH NO,N,4,1053,Int,0000,Value for field,3
Dsp_of_TITLES,A,8,1057,String,49100281,,3
Filler     ,A,3,1065,String,   ,Filler,3
TITLES,A,10,1068,String,          ,Value for field,3
Dsp_of_ZONE ,A,8,1078,String,50011994,Value for field,3
Filler     ,A,3,1086,String,   ,,3
ZONE ,A,1,1089,String, ,Filler,3
Dsp_of_ALTKEY ONE,A,8,1090,String,51151164,Value for field,3
Filler     ,A,3,1098,String,   ,,3
ALTKEY ONE,A,15,1101,String,        ,Filler,3
Dsp_of_VAT NO,A,8,1116,String,52081900,,3
Filler     ,A,3,1124,String,   ,Filler,3
VAT NO,N,8,1127,Int,00000000,Value for field,3
Dsp_of_DEPT.INDIC,A,8,1135,String,53011908,,3
Filler     ,A,3,1143,String,   ,Filler,3
DEPT.INDIC,N,1,1146,Int, ,Value for field,3
Dsp_of_RSK GRADE,A,8,1147,String,54021909,,3
Filler     ,A,3,1155,String,   ,Filler,3
RSK GRADE,A,2,1158,String,  ,Value for field,3
Dsp_of_SME IND.,A,8,1160,String,55011912,,3
Filler     ,A,3,1168,String,   ,Filler,3
SME IND.,N,1,1171,Int,0,Value for field,3
Dsp_of_SP.PURP.ENT,A,8,1172,String,56011913,,3
Filler     ,A,3,1180,String,   ,Filler,3
SP.PURP.ENT,N,1,1183,Int,0,Value for field,3
Dsp_of_DOC.IN.ORD,A,8,1184,String,57012025,,3
Filler     ,A,3,1192,String,   ,Filler,3
DOC.IN.ORD,A,1,1195,String, ,Value for field,3
Dsp_of_DOC. TYPE,A,8,1196,String,58012032,,3
Filler     ,A,3,1204,String,   ,Filler,3
DOC. TYPE,A,1,1207,String,0,Value for field,3
Dsp_of_CNTR ISSUE,A,8,1208,String,59022033,,3
Filler     ,A,3,1216,String,   ,Filler,3
CNTR ISSUE,A,2,1219,String,  ,Value for field,3
Dsp_of_REL. PARTY,A,8,1221,String,60012036,,3
Filler     ,A,3,1229,String,   ,Filler,3
REL. PARTY,A,1,1232,String, ,Value for field,3
Dsp_of_DTE INSERT,A,8,1233,String,61082026,,3
Filler     ,A,3,1241,String,   ,Filler,3
DTE INSERT,N,8,1244,Int,        ,Value for field,3
Destination_Mailbox_4,A,1,0,String,b,,4
Destination_Country_Code_4,N,3,1,Int,470,,4
Destination_IMD_Code_4,N,6,4,Int,512345,,4
Destination_Branch_Number_4,N,4,10,Int,0005,,4
Source_Mailbox_4,A,1,14,String,a,,4
Source_Country_Code_4,N,3,15,Int,470,,4
Source_IMD_Code_4,N,6,18,Int,512345,,4
Source_Branch_Number_4,N,4,24,Int,0005,,4
Business_Period_4,N,4,28,Int,0000,,4
Message_Type_8,N,1,32,Int,1,,4
Sequence_Number_4,N,6,33,Int,000000,,4
Time_4,N,6,39,Int,154423,,4
Transaction_Status_4,N,1,45,Int,0,,4
Message_Flags_4,A,1,46,String,@,,4
Reconciliation_Period_4,N,4,47,Int,0000,,4
Reconciliation_Currency_4,N,3,51,Int,000,,4
Reconciliation_Amount_Sign_4,A,1,54,String,0,,4
Reconciliation_Amount_4,N,14,55,Int,00000000000000,,4
Filler_9,A,8,69,String,N       ,,4
Message_Length_4,N,4,77,Int,0666,,4
Transaction_Definition_Id_4,N,1,81,Int,0,,4
Transaction_Processed_Flag_4,N,1,82,Int,0,,4
BranchPower_Transaction_Reference_Id_4,A,4,83,String,BRFO,,4
Message_Type_9,N,1,87,Int,0,,4
BankMaster_Destination_Branch_Number_8,N,2,88,Int,00,,4
BankMaster_Destination_Branch_Number_9,N,2,90,Int,00,,4
Filler_10,N,1,92,Int,0,,4
Inter_Branching_Flag_4,A,1,93,String,0,,4
Device_Id_4,N,4,94,Int,0000,,4
Message_Function_Code_4,N,1,98,Int,3,,4
Transaction_Type_8,N,2,99,Int,00,,4
Force_Post_Flag_4,N,1,101,Int,0,,4
Transaction_Date_4,N,8,102,Int,20170215,,4
User_Id_4,A,4,110,String,RODR,,4
Transaction_Sequence_Number_4,N,5,114,Int,00000,,4
Transaction_Chain_Number_4,N,2,119,Int,00,,4
Host_Task_Id_4,A,4,121,String,ST01,,4
BankMaster_Transaction_Type_4,A,2,125,String,  ,,4
Authorised_Flag_4,A,1,127,String,0,,4
Filler_11,A,4,128,String,    ,,4
Directory_4,A,6,132,String,esiubp,,4
Name_of_File_4,A,6,138,String,cutax ,,4
Transaction_Type_9,N,1,144,Int,3,,4
No_of_Fields_3,N,2,145,Int,17,,4
Dsp_of_CUST. NO._1,N,8,147,Int,01060002,,4
Filler     _84,A,3,155,String,   ,,4
CUST. NO._1,N,6,158,Int,599816,,4
Dsp_of_TAX NUMBER_1,N,8,164,Int,02100009,,4
Filler     _85,A,3,172,String,   ,,4
TAX NUMBER_1,A,10,175,String,C45698    ,,4
Dsp_of_TITLE_1,N,8,185,Int,03200249,,4
Filler     _86,A,3,193,String,   ,,4
TITLE_1,A,20,196,String,                    ,,4
Dsp_of_P.SURNAME_1,N,8,216,Int,04500019,,4
Filler     _87,A,3,224,String,   ,,4
P.SURNAME_1,A,50,227,String,GEMS INTERNATIONAL LTD                            ,,4
Dsp_of_P.FORENAME_1,N,8,277,Int,05300069,,4
Filler     _88,A,3,285,String,   ,,4
P.FORENAME_1,A,30,288,String,                              ,,4
Dsp_of_NO/BLD NME_1,N,8,318,Int,06500099,,4
Filler     _89,A,3,326,String,   ,,4
NO/BLD NME_1,A,50,329,String,256 THE HATCH                                     ,,4
Dsp_of_STREET NME_1,N,8,379,Int,07500149,,4
Filler     _90,A,3,387,String,   ,,4
STREET NME_1,A,50,390,String,POPE ALEXANDER VII                                ,,4
Dsp_of_LOCALITY_1,N,8,440,Int,08300199,,4
Filler     _91,A,3,448,String,   ,,4
LOCALITY_1,A,30,451,String,BALZAN                        ,,4
Dsp_of_POST CODE _1,N,8,481,Int,09100229,,4
Filler     _92,A,3,489,String,   ,,4
POST CODE _1,A,10,492,String,BZN1234   ,,4
Dsp_of_COUNTRY_1,N,8,502,Int,10100239,,4
Filler     _93,A,3,510,String,   ,,4
COUNTRY_1,A,10,513,String,MALTA     ,,4
Dsp_of_RES CY CDE_1,N,8,523,Int,11020343,,4
Filler     _94,A,3,531,String,   ,,4
RES CY CDE_1,A,2,534,String,  ,,4
Dsp_of_RECIP TYPE_1,N,8,536,Int,12010345,,4
Filler     _95,A,3,544,String,   ,,4
RECIP TYPE_1,N,1,547,Int,0,,4
Dsp_of_TIN _1,N,8,548,Int,13200346,,4
Filler     _96,A,3,556,String,   ,,4
TIN _1,A,20,559,String,                    ,,4
Dsp_of_DTE BIRTH_1,N,8,579,Int,14080366,,4
Filler     _97,A,3,587,String,   ,,4
DTE BIRTH_1,A,8,590,String,00000000,,4
Dsp_of_BIRTH CITY_1,N,8,598,Int,15350374,,4
Filler     _98,A,3,606,String,   ,,4
BIRTH CITY_1,A,35,609,String,                                   ,,4
Dsp_of_BIRT CYCDE_1,N,8,644,Int,16020409,,4
Filler     _99,A,3,652,String,   ,,4
BIRT CYCDE_1,A,2,655,String,00,,4
Dsp_of_BEN CY CDE_1,N,8,657,Int,17020411,,4
Filler     _100,A,3,665,String,   ,,4
BEN CY CDE_1,A,2,668,String,  ,,4
Destination_Mailbox,A,1,0,String,b,,5
Destination_Country_Code,N,3,1,Int,470,,5
Destination_IMD_Code,N,6,4,Int,512345,,5
Destination_Branch_Number,N,4,10,Int,0005,,5
Source_Mailbox,A,1,14,String,a,,5
Source_Country_Code,N,3,15,Int,470,,5
Source_IMD_Code,N,6,18,Int,512345,,5
Source_Branch_Number,N,4,24,Int,0019,,5
Business_Period,N,4,28,Int,0000,,5
Message_Type,N,1,32,Int,1,,5
Sequence_Number,N,6,33,Int,000000,,5
Time,N,6,39,Int,154655,,5
Transaction_Status,N,1,45,Int,0,,5
Message_Flags,A,1,46,String,@,,5
Reconciliation_Period,N,4,47,Int,0000,,5
Reconciliation_Currency,N,3,51,Int,000,,5
Reconciliation_Amount_Sign,A,1,54,String,0,,5
Reconciliation_Amount,N,14,55,Int,00000000000000,,5
Filler,N,8,69,Int,N       ,,5
Message_Length,N,4,77,Int,0666,,5
Transaction_Definition_Id,N,1,81,Int,0,,5
Transaction_Processed_Flag,N,1,82,Int,0,,5
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,,5
Message_Type,N,1,87,Int,0,,5
BankMaster_Destination_Branch_Number,N,2,88,Int,00,,5
BankMaster_Destination_Branch_Number,N,2,90,Int,00,,5
Filler,N,1,92,Int,0,,5
Inter_Branching_Flag,A,1,93,String,0,,5
Device_Id,N,4,94,Int,0000,,5
Message_Function_Code,N,1,98,Int,5,,5
Transaction_Type,N,2,99,Int,00,,5
Force_Post_Flag,N,1,101,Int,0,,5
Transaction_Date,N,8,102,Int,20170215,,5
User_Id,A,4,110,String,RODR,,5
Transaction_Sequence_Number,N,5,114,Int,00000,,5
Transaction_Chain_Number,N,2,119,Int,00,,5
Host_Task_Id,A,4,121,String,ST01,,5
BankMaster_Transaction_Type_06,N,2,125,Int,  ,,5
Authorised_Flag,A,1,127,String,0,,5
Filler,A,4,128,String,    ,,5
Directory,A,6,132,String,esiubp,,5
Name_of_File,A,6,138,String,cutax ,,5
Transaction_Type,N,1,144,Int,2,,5
Destination_Mailbox_5,A,1,0,String,b,This field identifies the delivery system to the TPS. Transactions generated by BranchPower set this field to a. Other delivery systems can use any value.,6
Destination_Country_Code_5,N,3,1,Int,470,The 3-digit ISO country code of the destination bank. This field is used in conjunction with the Destination Interchange Member and the Destination Branch Number to determine the BankMaster branch number for the destination account.,6
Destination_IMD_Code_5,N,6,4,Int,512345,The 6 -digit IMD of the destination bank.,6
Destination_Branch_Number_5,N,4,10,Int,0005,The destination branch number.,6
Source_Mailbox_5,A,1,14,String,a,This field identifies the type of processing to be carried out on the transaction. The following values are currently in use:,6
Source_Country_Code_5,N,3,15,Int,470,The 3-digit ISO country code of the bank at which the transaction was entered.,6
Source_IMD_Code_5,N,6,18,Int,512345,The 6-digit IMD of the bank at which the transaction was entered.,6
Source_Branch_Number_5,N,4,24,Int,0019,The branch number of the branch at which the transaction was entered.,6
Business_Period_5,N,4,28,Int,0000,Not currently used.,6
Message_Type_10,N,1,32,Int,1,This field should be set to 1 (response message required from the remote server).,6
Sequence_Number_5,N,6,33,Int,000000,Used by the TPS system software.,6
Time_5,N,6,39,Int,094537,The time the transaction was entered. It must be in the format HHMMSS.,6
Transaction_Status_5,N,1,45,Int,0,This field should have a value of 0 to indicate a normal message. It may be intercepted by the TPS CIO module and amended to:,6
Message_Flags_5,A,1,46,String,@,This field should have a value of 40HEX for a normal message.,6
Reconciliation_Period_5,N,4,47,Int,0000,Not currently used.,6
Reconciliation_Currency_5,N,3,51,Int,000,Not currently used.,6
Reconciliation_Amount_Sign_5,A,1,54,String,0,Not currently used.,6
Reconciliation_Amount_5,N,14,55,Int,00000000000000,Not currently used.,6
Filler_12,A,8,69,String,N       ,This field should be set to zeros.,6
Message_Length_5,N,4,77,Int,1262,The length of the full request message (including the request header).,6
Transaction_Definition_Id_5,N,1,81,Int,0,This field works in conjunction with the Inter Branching Flag (displacement 0093) to identify inter-branch transactions.,6
